frame_idx,track_id,x1,y1,x2,y2,confidence,Q_i,D_i,phi_i,theta_i,vq_score
164,-1,314.44,39.8,360.0,166.64,0.3433,0.1716,5.1297,21.6947,0.0,0.1104
165,1,305.06,8.86,360.0,167.99,0.6909,0.3454,5.0544,21.1429,0.0,0.2225
166,1,299.66,3.33,358.65,167.43,0.6235,0.3118,5.0605,20.7146,0.0,0.2011
167,1,291.47,0.71,352.49,168.97,0.7598,0.3799,4.969,19.8529,45.3933,0.2096
168,1,288.28,1.97,349.31,168.91,0.7515,0.3757,4.9575,19.4525,0.0,0.2455
169,1,283.29,1.06,345.32,167.87,0.7793,0.3896,4.9781,18.8631,0.0,0.2539
170,1,279.93,2.27,342.81,168.67,0.8882,0.4441,4.9355,18.5098,0.0,0.2922
171,1,276.69,3.06,339.64,165.97,0.8594,0.4297,5.0264,18.0399,0.0,0.2794
172,1,274.86,3.19,339.29,165.93,0.8945,0.4472,5.0236,17.8995,0.0,0.291
173,1,273.97,2.22,339.1,165.27,0.8892,0.4446,5.0474,17.8159,0.0,0.2893
174,1,272.45,0.93,337.35,162.96,0.8838,0.4419,5.1337,17.5581,0.0,0.2877
175,1,269.18,0.29,333.6,160.88,0.7529,0.3765,5.2057,17.0646,0.0,0.2454
176,1,266.83,0.0,330.17,158.35,0.7305,0.3653,5.3025,16.645,152.0599,0.1166
177,1,263.59,0.0,326.57,157.72,0.8237,0.4118,5.3165,16.1867,0.0,0.2691
178,1,264.68,0.0,326.18,156.69,0.7612,0.3806,5.3635,16.2172,0.0,0.2487
179,1,264.24,0.0,324.47,155.96,0.5283,0.2641,5.392,16.0653,0.0,0.1727
180,1,263.02,0.29,321.72,156.58,0.6123,0.3061,5.3565,15.8124,0.0,0.2002
181,1,260.71,0.09,318.21,156.47,0.7886,0.3943,5.3503,15.4258,0.0,0.2581
182,1,257.78,0.02,314.29,156.83,0.6548,0.3274,5.3217,14.9769,0.0,0.2146
183,1,254.1,0.01,309.61,156.34,0.7529,0.3765,5.3284,14.4118,0.0,0.247
184,1,248.47,0.11,303.7,155.99,0.8745,0.4373,5.3243,13.6324,0.0,0.2874
185,1,242.37,0.0,297.85,155.88,0.877,0.4385,5.3098,12.8246,0.0,0.2887
186,1,236.27,0.11,292.23,155.67,0.8477,0.4239,5.3013,12.026,0.0,0.2795
187,1,231.6,0.17,288.1,155.43,0.8916,0.4458,5.2993,11.4219,0.0,0.2943
188,1,229.38,0.2,286.36,155.91,0.8535,0.4268,5.2724,11.1613,0.0,0.2818
189,1,227.33,0.12,284.78,155.83,0.8657,0.4329,5.2711,10.9117,0.0,0.286
190,1,225.62,0.0,283.34,154.41,0.9023,0.4511,5.3304,10.6672,0.0,0.2982
191,1,226.62,0.01,280.3,140.97,0.4534,0.2267,6.0064,10.434,164.073,0.0743
192,1,223.98,0.0,281.44,149.23,0.9092,0.4546,5.5698,10.3472,16.9834,0.294
193,1,222.56,0.0,279.93,148.53,0.6582,0.3291,5.6004,10.1375,0.0,0.2177
194,1,221.42,0.0,278.35,146.43,0.8691,0.4345,5.7028,9.9342,159.8929,0.1427
195,1,219.19,0.15,276.01,148.01,0.8052,0.4026,5.6169,9.6264,0.0,0.2665
196,1,219.79,0.04,272.57,140.47,0.7114,0.3557,6.0146,9.4247,163.8053,0.117
197,1,216.84,0.09,267.86,137.57,0.8496,0.4248,6.1733,8.9222,154.3227,0.1399
198,1,214.6,0.11,264.65,139.42,0.7925,0.3962,6.0581,8.5184,25.0508,0.2503
199,1,212.15,0.45,260.21,136.58,0.7129,0.3564,6.2178,8.0782,155.8177,0.1176
200,1,210.58,0.67,257.15,135.7,0.3621,0.181,6.2662,7.7731,0.0,0.1201
201,1,206.58,0.33,253.05,136.41,0.7832,0.3916,6.2142,7.1932,0.0,0.26
202,1,204.7,0.15,250.44,135.74,0.7656,0.3828,6.2505,6.8952,0.0,0.2543
203,1,201.61,0.28,247.2,135.99,0.7739,0.387,6.2292,6.4478,0.0,0.2572
204,1,196.96,0.23,242.96,136.13,0.8535,0.4268,6.2129,5.8245,0.0,0.2838
205,1,191.11,0.21,238.22,136.25,0.8906,0.4453,6.1974,5.084,0.0,0.2963
206,1,188.3,0.11,236.54,136.19,0.8853,0.4426,6.198,4.7745,0.0,0.2946
207,1,185.4,0.17,234.83,136.19,0.8394,0.4197,6.195,4.4556,0.0,0.2794
208,1,183.12,0.15,233.56,135.65,0.8677,0.4339,6.2257,4.2321,0.0,0.2888
209,1,184.28,0.14,234.29,132.58,0.8086,0.4043,6.42,4.5015,164.6097,0.1344
211,1,181.46,0.16,232.31,131.79,0.7925,0.3962,6.4686,4.2297,0.0,0.2638
212,1,179.85,0.51,231.54,131.71,0.7695,0.3847,6.4725,4.0805,0.0,0.2562
213,1,178.16,0.12,230.41,130.51,0.8086,0.4043,6.5508,3.9802,0.0,0.2692
214,1,177.08,0.13,229.65,129.99,0.6836,0.3418,6.585,3.9035,0.0,0.2276
215,1,175.38,0.0,225.96,124.58,0.8145,0.4073,6.9699,4.0632,164.6497,0.1354
216,1,174.34,0.0,224.02,122.37,0.5718,0.2859,7.1393,4.1414,163.8375,0.0951
217,1,173.82,0.0,220.57,115.55,0.3774,0.1887,7.7173,4.7595,167.0311,0.0627
218,1,171.64,0.11,219.37,120.09,0.4036,0.2018,7.3207,4.0826,13.8644,0.1324
220,-1,174.38,4.64,205.88,124.1,0.3032,0.1516,6.9988,3.2011,0.0,0.101
221,-1,172.69,6.89,203.34,123.47,0.2644,0.2644,7.0463,3.1595,0.0,0.1761
222,-1,168.19,0.0,202.22,63.28,0.3191,0.1595,19.1221,11.4528,0.0,0.1053
223,-1,170.16,0.21,200.53,122.55,0.304,0.152,7.1171,3.1691,0.0,0.1013
223,-1,171.0,0.05,200.25,32.52,0.2444,0.1222,107.0581,15.6195,0.0,0.08
224,1,160.85,0.0,207.32,121.94,0.397,0.1985,7.1651,3.2162,55.6603,0.1034
225,1,158.68,0.0,203.85,120.7,0.3201,0.16,7.2648,3.3448,149.7494,0.0533
226,1,152.12,0.0,196.93,120.7,0.604,0.302,7.2655,3.4306,90.7843,0.1005
227,1,148.66,0.0,193.48,121.03,0.7871,0.3936,7.2398,3.5322,0.0,0.2621
228,1,147.81,0.0,192.28,120.56,0.7568,0.3784,7.2786,3.6496,0.0,0.252
229,1,146.73,0.01,188.89,112.01,0.5195,0.2597,8.0504,4.9007,167.7121,0.0863
