view,track_id,start_frame,end_frame,start_time,end_time,num_detections
view1,1167,2441,2447,97.64,97.88,7
view1,1173,2446,2446,97.84,97.84,1
view1,1174,2451,2484,98.04,99.36,23
view1,1179,2454,2458,98.16,98.32,2
view1,1196,2469,2508,98.76,100.32,19
view1,1199,2472,2478,98.88,99.12,3
view1,1213,2483,2501,99.32,100.04,13
view1,1223,2497,2497,99.88,99.88,1
view1,1228,2523,2526,100.92,101.04,4
view1,1229,2503,2782,100.12,111.28,175
view1,1237,2509,2510,100.36,100.40,2
view1,1248,2528,2559,101.12,102.36,14
view1,1270,2590,2590,103.60,103.60,1
view1,1290,2615,2626,104.60,105.04,6
view1,1293,2617,2716,104.68,108.64,25
view1,1303,2630,2651,105.20,106.04,7
view1,1314,2664,2665,106.56,106.60,2
view1,1328,2713,2838,108.52,113.52,13
view1,1342,2751,2751,110.04,110.04,1
view1,1354,2762,2764,110.48,110.56,2
view1,1361,2774,2776,110.96,111.04,3
view1,1366,2775,2796,111.00,111.84,6
view1,1379,2802,2806,112.08,112.24,3
view1,1385,2808,2927,112.32,117.08,67
view1,1387,2809,2815,112.36,112.60,3
view1,1395,2825,2825,113.00,113.00,1
view1,1414,2854,2878,114.16,115.12,18
view1,1434,2885,2890,115.40,115.60,5
view1,1439,2892,2901,115.68,116.04,10
view1,1443,2892,2900,115.68,116.00,6
view1,1450,2902,3536,116.08,141.44,516
view1,1455,2904,2934,116.16,117.36,2
view1,1481,2946,2971,117.84,118.84,6
view1,1489,2953,2954,118.12,118.16,2
view1,1493,2957,2957,118.28,118.28,1
view1,1499,2967,3049,118.68,121.96,60
view1,1507,2986,3375,119.44,135.00,354
view1,1511,2975,2980,119.00,119.20,6
view1,1517,2988,2995,119.52,119.80,6
view1,1527,3016,3018,120.64,120.72,3
view1,1530,3021,3345,120.84,133.80,161
view1,1531,3026,3113,121.04,124.52,51
view1,1560,3108,3112,124.32,124.48,5
view1,1579,3116,3303,124.64,132.12,115
view1,1587,3121,3229,124.84,129.16,55
view1,1593,3139,3139,125.56,125.56,1
view1,1642,3304,3442,132.16,137.68,52
view1,1680,3352,3352,134.08,134.08,1
view1,1688,3369,3369,134.76,134.76,1
view1,1718,3414,3467,136.56,138.68,38
view1,1723,3420,3424,136.80,136.96,5
view1,1732,3432,3547,137.28,141.88,112
view1,1753,3471,3550,138.84,142.00,40
view1,1760,3486,3592,139.44,143.68,80
view1,1766,3498,3607,139.92,144.28,35
view1,1796,3550,3638,142.00,145.52,79
view1,1814,3570,3570,142.80,142.80,1
view1,1816,3570,3667,142.80,146.68,49
view1,1826,3581,3741,143.24,149.64,85
view1,1853,3610,3786,144.40,151.44,144
view1,1862,3650,3650,146.00,146.00,1
view1,1874,3653,3717,146.12,148.68,4
view1,1878,3656,3659,146.24,146.36,4
view1,1892,3668,3670,146.72,146.80,2
view1,1893,3674,3680,146.96,147.20,4
view1,1895,3690,3874,147.60,154.96,136
view1,1902,3703,3719,148.12,148.76,4
view1,1928,3763,3769,150.52,150.76,2
view1,1931,3768,3768,150.72,150.72,1
view1,1939,3778,3853,151.12,154.12,39
view1,1942,3780,3793,151.20,151.72,10
view1,1952,3789,3793,151.56,151.72,3
view1,1961,3794,3809,151.76,152.36,11
view1,1966,3798,3910,151.92,156.40,42
view1,1969,3801,3865,152.04,154.60,4
view1,1995,3870,3909,154.80,156.36,23
view1,1996,3879,3879,155.16,155.16,1
view1,1999,3882,3882,155.28,155.28,1
