view,frame_idx,shot_id,accepted,max_redund_score,epsilon_used,num_persons_t,num_persons_j,fallback_triggered
view1,0,0,1,0.0,0.85,0,0,0
view1,1,0,0,0.9875,0.85,0,0,1
view1,2,0,0,0.9843,0.9843,0,0,1
view1,3,0,0,0.9884,0.985,0,0,1
view1,4,0,1,0.9786,0.9809,0,0,1
view1,5,0,0,0.9832,0.9808,0,0,1
view1,6,0,1,0.9714,0.974,0,0,1
view1,7,0,0,0.9669,0.954,0,0,1
view1,8,0,0,0.9708,0.9451,0,0,1
view1,9,0,0,0.964,0.9386,0,0,1
view1,10,0,0,0.9638,0.9338,0,0,1
view1,11,0,0,0.9577,0.9318,0,0,1
view1,12,0,0,0.9507,0.9272,0,0,1
view1,13,0,0,0.955,0.9253,0,0,1
view1,14,0,0,0.951,0.9215,0,0,1
view1,15,0,0,0.9531,0.9199,0,0,1
view1,16,0,0,0.943,0.9172,0,0,1
view1,17,0,0,0.946,0.916,0,0,1
view1,18,0,0,0.9553,0.9151,0,0,1
view1,19,0,0,0.9616,0.9155,0,0,1
view1,20,0,0,0.9599,0.9157,0,0,1
view1,21,0,0,0.9536,0.9152,0,0,1
view1,22,0,0,0.9568,0.9145,0,0,1
view1,23,0,0,0.9548,0.9136,0,0,1
view1,24,0,0,0.9506,0.9131,0,0,1
view1,25,0,0,0.9548,0.9131,0,0,1
view1,26,0,0,0.9508,0.9127,0,0,1
view1,27,0,0,0.9521,0.9125,0,0,1
view1,28,0,0,0.9505,0.912,0,0,1
view1,29,0,0,0.9521,0.9119,0,0,1
view1,30,0,0,0.9501,0.9116,0,0,1
view1,31,0,0,0.9565,0.9118,0,0,1
view1,32,0,0,0.948,0.9116,0,0,1
view1,33,0,0,0.9548,0.9119,0,0,1
view1,34,0,0,0.9531,0.9119,0,0,1
view1,35,0,0,0.9485,0.9117,0,0,1
view1,36,0,0,0.945,0.9114,0,0,1
view1,37,0,0,0.9539,0.9114,0,0,1
view1,38,0,0,0.9563,0.9115,0,0,1
view1,39,0,0,0.954,0.9116,0,0,1
view1,40,0,0,0.9539,0.9114,0,0,1
view1,41,0,0,0.9525,0.9112,0,0,1
view1,42,0,0,0.9595,0.9115,0,0,1
view1,43,0,0,0.9483,0.9114,0,0,1
view1,44,0,0,0.9505,0.9114,0,0,1
view1,45,0,0,0.9541,0.9113,0,0,1
view1,46,0,0,0.953,0.9111,0,0,1
view1,47,0,0,0.9457,0.9105,0,0,1
view1,48,0,0,0.9513,0.9105,0,0,1
view1,49,0,0,0.9443,0.9101,0,0,1
view1,50,0,0,0.9482,0.9097,0,0,1
view1,51,0,0,0.9465,0.9095,0,0,1
view1,52,0,0,0.9459,0.9092,0,0,1
view1,53,0,0,0.9492,0.9092,0,0,1
view1,54,0,0,0.9469,0.9088,0,0,1
view1,55,0,0,0.9527,0.9087,0,0,1
view1,56,0,0,0.9573,0.9088,0,0,1
view1,57,0,0,0.9525,0.9089,0,0,1
view1,58,0,0,0.9465,0.9086,0,0,1
view1,59,0,0,0.9524,0.9086,0,0,1
view1,60,0,0,0.9598,0.9088,0,0,1
view1,61,0,0,0.9487,0.9087,0,0,1
view1,62,0,0,0.9426,0.9084,0,0,1
view1,63,0,0,0.9535,0.9085,0,0,1
view1,64,0,0,0.9569,0.9086,0,0,1
view1,65,0,0,0.9532,0.9088,0,0,1
view1,66,0,0,0.9496,0.9087,0,0,1
view1,67,0,0,0.9532,0.9087,0,0,1
view1,68,0,0,0.9465,0.9087,0,0,1
view1,69,0,0,0.9487,0.9088,0,0,1
view1,70,0,0,0.9541,0.9088,0,0,1
view1,71,0,0,0.9464,0.9086,0,0,1
view1,72,0,0,0.9488,0.9085,0,0,1
view1,73,0,0,0.9564,0.9086,0,0,1
view1,74,0,0,0.9458,0.9083,0,0,1
view1,75,0,0,0.9541,0.9083,0,0,1
view1,76,0,0,0.9566,0.9083,0,0,1
view1,77,0,0,0.9578,0.9085,0,0,1
view1,78,0,0,0.9517,0.9085,0,0,1
view1,79,0,0,0.9571,0.9086,0,0,1
view1,80,0,0,0.9463,0.9084,0,0,1
view1,81,0,0,0.9523,0.9083,0,0,1
view1,82,0,0,0.9513,0.9083,0,0,1
view1,83,0,0,0.9552,0.9082,0,0,1
view1,84,0,0,0.9463,0.9082,0,0,1
view1,85,0,0,0.9535,0.9081,0,0,1
view1,86,0,0,0.9557,0.9081,0,0,1
view1,87,0,0,0.9454,0.9079,0,0,1
view1,88,0,0,0.9453,0.9078,0,0,1
view1,89,0,0,0.949,0.9078,0,0,1
view1,90,0,0,0.9417,0.9077,0,0,1
view1,91,0,0,0.9562,0.9078,0,0,1
view1,92,0,0,0.9477,0.9078,0,0,1
view1,93,0,0,0.9459,0.9078,0,0,1
view1,94,0,0,0.9522,0.9078,0,0,1
view1,95,0,0,0.9467,0.9077,0,0,1
view1,96,0,0,0.947,0.9076,0,0,1
view1,97,0,0,0.9507,0.9076,0,0,1
view1,98,0,0,0.9473,0.9075,0,0,1
view1,99,0,0,0.9422,0.9073,0,0,1
view1,100,0,0,0.9459,0.9071,0,0,1
view1,101,0,0,0.946,0.9071,0,0,1
view1,102,0,0,0.9446,0.907,0,0,1
view1,103,0,0,0.9477,0.907,0,0,1
view1,104,0,0,0.9594,0.9071,0,0,1
view1,105,0,0,0.9584,0.9071,0,0,1
view1,106,0,0,0.9477,0.907,0,0,1
view1,107,0,0,0.9538,0.9071,0,0,1
view1,108,0,0,0.9475,0.9071,0,0,1
view1,109,0,0,0.9515,0.9071,0,0,1
view1,110,0,0,0.9544,0.9071,0,0,1
view1,111,0,0,0.9471,0.9071,0,0,1
view1,112,0,0,0.9437,0.9072,0,0,1
view1,113,0,0,0.949,0.9073,0,0,1
view1,114,0,0,0.9447,0.9071,0,0,1
view1,115,0,0,0.9494,0.9071,0,0,1
view1,116,0,0,0.9597,0.9071,0,0,1
view1,117,0,0,0.9658,0.9072,0,0,1
view1,118,0,0,0.9601,0.9073,0,0,1
view1,119,0,0,0.9544,0.9073,0,0,1
view1,120,0,0,0.943,0.9072,0,0,1
view1,121,0,0,0.9512,0.9072,0,0,1
view1,122,0,0,0.9527,0.9072,0,0,1
view1,123,0,0,0.9443,0.9071,0,0,1
view1,124,0,0,0.9509,0.9071,0,0,1
view1,125,0,0,0.9513,0.9072,0,0,1
view1,126,0,0,0.9522,0.9072,0,0,1
view1,127,0,0,0.9507,0.9072,0,0,1
view1,128,0,0,0.9593,0.9073,0,0,1
view1,129,0,0,0.9615,0.9074,0,0,1
view1,130,0,0,0.9613,0.9075,0,0,1
view1,131,0,0,0.9595,0.9076,0,0,1
view1,132,0,0,0.9573,0.9076,0,0,1
view1,133,0,0,0.9461,0.9075,0,0,1
view1,134,0,0,0.9484,0.9075,0,0,1
view1,135,0,0,0.9623,0.9076,0,0,1
view1,136,0,0,0.9513,0.9076,0,0,1
view1,137,0,0,0.9583,0.9077,0,0,1
view1,138,0,0,0.9375,0.9075,0,0,1
view1,139,0,0,0.9503,0.9076,0,0,1
view1,140,0,0,0.9495,0.9075,0,0,1
view1,141,0,0,0.9566,0.9076,0,0,1
view1,142,0,0,0.9461,0.9076,0,0,1
view1,143,0,0,0.9486,0.9076,0,0,1
view1,144,0,0,0.944,0.9076,0,0,1
view1,145,0,0,0.9477,0.9076,0,0,1
view1,146,0,0,0.948,0.9075,0,0,1
view1,147,0,0,0.9504,0.9076,0,0,1
view1,148,0,0,0.9475,0.9075,0,0,1
view1,149,0,0,0.9589,0.9076,0,0,1
view1,150,1,1,0.0,0.85,0,0,0
view1,151,1,0,0.9901,0.85,0,0,1
view1,152,1,0,0.9843,0.9843,0,0,1
view1,153,1,0,0.9836,0.9831,0,0,1
view1,154,1,0,0.9863,0.9835,0,0,1
view1,155,1,0,0.9832,0.9829,0,0,1
view1,156,1,1,0.9815,0.9821,0,0,1
view1,157,1,0,0.9878,0.9818,0,0,1
view1,158,1,0,0.9873,0.9823,0,0,1
view1,159,1,0,0.9858,0.9819,0,0,1
view1,160,1,1,0.9706,0.9756,0,0,1
view1,161,1,0,0.9856,0.9733,0,0,1
