frame_idx,track_id,x1,y1,x2,y2,confidence,Q_i,D_i,phi_i,theta_i,vq_score
220,4153,125.72,0.29,201.38,229.4,0.7822,0.3911,2.6387,17.3516,0.0,0.3779
221,4153,126.35,0.1,204.02,241.02,0.543,0.2715,2.4315,19.4227,35.1872,0.2473
222,4153,132.25,0.3,206.83,235.71,0.7319,0.3659,2.5198,18.3465,0.0,0.3588
223,4153,144.7,0.25,200.87,172.03,0.5718,0.2859,4.3075,5.9366,158.4292,0.1212
224,4153,144.22,0.06,219.96,232.78,0.7568,0.3784,2.57,17.695,33.8316,0.3475
225,4153,150.66,0.01,232.17,248.99,0.3372,0.1686,2.3034,20.7776,41.2153,0.1466
226,4153,158.4,0.35,241.72,250.85,0.8013,0.4007,2.2809,21.3348,0.0,0.3798
227,4153,164.35,0.13,251.28,255.79,0.834,0.417,2.2165,22.4832,0.0,0.3907
228,4153,167.81,0.04,255.87,252.47,0.5469,0.2735,2.269,22.104,0.0,0.2583
229,4153,169.26,0.01,261.51,257.57,0.7139,0.3569,2.2008,23.1402,0.0,0.3331
230,4153,169.75,0.0,264.9,260.12,0.8667,0.4334,2.1684,23.6631,0.0,0.402
231,4153,169.4,0.0,267.49,263.34,0.8755,0.4377,2.1271,24.249,0.0,0.4031
232,4153,168.62,0.0,269.17,265.81,0.811,0.4055,2.0957,24.6736,0.0,0.3713
233,4153,168.3,0.0,271.37,268.36,0.7114,0.3557,2.0647,25.1334,0.0,0.3238
234,4153,188.08,0.0,261.18,190.14,0.6929,0.3464,3.6664,12.9867,155.1225,0.1741
235,4153,176.61,0.0,273.16,248.46,0.7056,0.3528,2.349,22.2185,35.9394,0.3146
236,-1,207.0,0.0,263.81,147.66,0.3979,0.1989,5.8437,11.2816,0.0,0.1314
237,4153,176.79,0.48,279.9,266.25,0.7808,0.3904,2.1052,25.2813,39.9484,0.327
238,4153,179.4,0.79,282.84,270.02,0.5186,0.2593,2.0628,26.0392,0.0,0.2354
239,4153,183.04,0.86,285.34,271.52,0.6372,0.3186,2.0501,26.4635,0.0,0.2884
240,4153,212.02,0.83,283.86,189.66,0.6953,0.3477,3.7536,16.3879,155.5433,0.1689
241,4153,226.89,0.53,285.8,154.26,0.5078,0.2539,5.4756,15.4693,162.5699,0.0816
242,4153,217.25,0.73,305.79,240.42,0.7227,0.3614,2.5718,24.4,33.7747,0.3268
243,4153,219.48,6.79,310.14,261.17,0.3381,0.3381,2.2611,27.4588,37.9164,0.2908
244,4153,222.19,3.46,314.86,268.68,0.6699,0.335,2.1721,28.7826,0.0,0.3065
245,4153,227.73,7.19,319.44,273.01,0.5088,0.5088,2.1332,29.7953,0.0,0.4615
246,4153,233.82,3.04,327.88,275.12,0.7769,0.3885,2.1308,30.7227,0.0,0.3512
247,4153,243.25,1.38,339.32,271.18,0.4941,0.247,2.2171,31.2636,126.9763,0.1434
248,4153,245.08,0.69,342.42,268.42,0.7964,0.3982,2.2624,31.2013,0.0,0.3664
249,4153,246.65,0.4,347.48,272.39,0.9116,0.4558,2.2233,31.9731,0.0,0.4159
250,4153,248.56,10.66,347.54,270.26,0.8315,0.8315,2.2547,31.8401,0.0,0.7626
251,4153,246.24,4.05,350.35,272.42,0.8843,0.4421,2.2277,32.0993,0.0,0.4036
252,4153,244.94,1.61,351.69,273.77,0.8818,0.4409,2.2106,32.2481,0.0,0.4012
253,4153,244.24,0.64,353.19,274.74,0.8525,0.4263,2.1999,32.3931,0.0,0.3871
254,4153,243.3,0.25,353.52,274.94,0.8218,0.4109,2.1962,32.3848,0.0,0.373
255,4153,243.32,0.1,356.6,281.48,0.667,0.3335,2.1226,33.2454,0.0,0.2985
259,-1,317.25,23.34,360.0,203.34,0.2487,0.1244,3.8067,31.3187,0.0,0.0966
267,-1,328.5,0.84,360.0,288.0,0.4834,0.2417,2.233,38.1236,0.0,0.2159
271,-1,330.75,1.41,360.0,286.31,0.3604,0.1802,2.2583,38.0906,0.0,0.1616
272,-1,332.44,8.72,360.0,272.53,0.283,0.1415,2.4386,37.0484,0.0,0.1308
272,-1,333.0,26.02,360.0,183.38,0.233,0.1165,4.5818,31.5783,0.0,0.0784
277,-1,335.25,30.09,360.0,166.64,0.2255,0.1128,5.4158,31.2866,0.0,0.0697
288,-1,325.12,25.45,360.0,216.28,0.2698,0.1349,3.4707,32.5848,0.0,0.1104
289,-1,318.38,14.34,360.0,219.66,0.3477,0.1739,3.3649,32.3431,0.0,0.1448
290,4164,315.2,4.22,357.77,213.92,0.6343,0.3171,3.4932,31.6234,0.0,0.2595
291,4164,312.77,1.53,354.86,207.65,0.354,0.177,3.6475,30.8816,151.7178,0.0826
292,4164,310.62,0.06,352.56,203.33,0.5049,0.2525,3.7597,30.3208,151.4011,0.1144
293,4164,308.92,0.33,350.5,198.25,0.668,0.334,3.9063,29.7731,153.986,0.1453
295,4164,309.77,0.0,351.36,193.38,0.4426,0.2213,4.0766,29.6519,157.3614,0.0914
296,4164,306.66,0.0,349.85,194.28,0.6069,0.3034,4.0292,29.3546,0.0,0.2286
