frame_idx,track_id,x1,y1,x2,y2,confidence,Q_i,D_i,phi_i,theta_i,vq_score
113,-1,239.91,0.63,264.38,82.69,0.6094,0.3047,17.4424,13.3403,0.0,0.2004
114,2016,236.4,0.41,262.25,86.96,0.6279,0.314,15.7412,12.6724,0.0,0.2068
115,2016,236.07,0.26,262.37,87.99,0.304,0.152,15.3815,12.5723,6.3176,0.0998
119,2016,233.33,0.3,259.65,88.07,0.3408,0.1704,15.3371,12.2771,66.7214,0.0779
120,2016,232.11,0.52,258.39,88.25,0.7231,0.3615,15.2687,12.1315,0.0,0.2383
121,2016,232.08,0.35,257.25,84.49,0.4243,0.2122,16.641,12.4134,174.057,0.0691
122,2016,230.61,0.28,256.61,87.11,0.212,0.106,15.6519,12.065,6.5851,0.0697
128,2016,224.88,0.55,252.76,95.36,0.5679,0.2839,13.1602,10.8226,8.3399,0.1866
129,2016,223.8,0.33,251.78,96.41,0.4609,0.2304,12.8951,10.6199,10.1814,0.1511
130,2016,223.06,0.16,250.7,96.22,0.5449,0.2725,12.9373,10.5398,0.0,0.1801
131,2016,222.64,0.28,249.94,96.17,0.543,0.2715,12.9469,10.4817,0.0,0.1795
132,2016,222.25,0.28,249.38,96.4,0.7852,0.3926,12.8886,10.4108,0.0,0.2596
133,2016,221.63,0.28,248.58,97.11,0.7827,0.3913,12.7151,10.2718,10.4295,0.2567
134,2016,221.51,0.19,248.22,97.17,0.8032,0.4016,12.6999,10.241,0.0,0.2656
135,2016,220.67,0.2,247.64,99.67,0.2791,0.1396,12.1317,9.9422,8.2156,0.0919
137,2016,219.71,0.13,245.99,98.43,0.6807,0.3403,12.4004,9.9142,168.4565,0.1118
138,2016,218.9,0.24,244.68,98.0,0.3738,0.1869,12.4939,9.8425,0.0,0.1237
141,2016,216.19,0.5,241.9,98.14,0.7139,0.3569,12.4512,9.5464,0.0,0.2363
145,2016,210.97,0.12,237.24,97.79,0.5581,0.2791,12.5136,9.09,112.2883,0.0918
147,2016,207.55,0.16,235.72,103.17,0.5938,0.2969,11.3747,8.3097,9.2402,0.1956
148,2016,204.74,0.63,234.11,104.34,0.6724,0.3362,11.1483,7.9732,17.5247,0.2178
149,2016,202.95,0.53,233.4,105.58,0.7852,0.3926,10.9204,7.7252,12.2358,0.2576
150,2016,201.51,0.58,232.31,105.2,0.6807,0.3403,10.985,7.6394,0.0,0.2259
151,2016,199.34,0.68,231.02,107.02,0.6768,0.3384,10.6631,7.2851,12.2044,0.2221
152,2016,199.53,1.23,231.05,106.44,0.7881,0.3941,10.7626,7.3553,0.0,0.2616
153,2016,198.32,0.74,230.42,107.39,0.6738,0.3369,10.5988,7.1685,12.3847,0.2211
154,2016,196.02,0.51,224.92,92.36,0.4141,0.2071,13.8547,8.5406,172.7372,0.0683
155,2016,196.25,0.36,227.47,100.81,0.7202,0.3601,11.8187,7.656,8.3226,0.2377
