view,frame_idx,shot_id,accepted,max_redund_score,epsilon_used,num_persons_t,num_persons_j,fallback_triggered
view2,0,0,1,0.0,0.85,0,0,0
view2,1,0,0,0.9776,0.85,0,0,1
view2,2,0,1,0.9573,0.9624,0,0,1
view2,3,0,0,0.9731,0.9559,0,0,1
view2,4,0,0,0.9751,0.958,0,0,1
view2,5,0,0,0.9713,0.958,0,0,1
view2,6,0,0,0.9584,0.9509,0,0,1
view2,7,0,0,0.9492,0.9464,0,0,1
view2,8,0,1,0.8976,0.9325,0,0,1
view2,9,0,0,0.9703,0.9242,0,0,1
view2,10,0,0,0.9652,0.9194,0,0,1
view2,11,0,0,0.9574,0.9135,0,0,1
view2,12,0,0,0.9499,0.9102,0,0,1
view2,13,0,0,0.9611,0.9065,0,0,1
view2,14,0,0,0.9552,0.9039,0,0,1
view2,15,0,0,0.9508,0.8997,0,0,1
view2,16,0,0,0.9483,0.8967,0,0,1
view2,17,0,0,0.9515,0.8968,0,0,1
view2,18,0,0,0.9554,0.8959,0,0,1
view2,19,0,0,0.9356,0.8951,0,0,1
view2,20,0,0,0.9487,0.8946,0,0,1
view2,21,0,0,0.9452,0.8944,0,0,1
view2,22,0,0,0.937,0.893,0,0,1
view2,23,0,0,0.9482,0.8927,0,0,1
view2,24,0,0,0.9458,0.8918,0,0,1
view2,25,0,0,0.9516,0.891,0,0,1
view2,26,0,0,0.9461,0.8902,0,0,1
view2,27,0,0,0.9534,0.8899,0,0,1
view2,28,0,0,0.9591,0.8896,0,0,1
view2,29,0,0,0.9491,0.8894,0,0,1
view2,30,0,0,0.9524,0.8892,0,0,1
view2,31,0,0,0.9492,0.8893,0,0,1
view2,32,0,0,0.942,0.8891,0,0,1
view2,33,0,0,0.9512,0.8894,0,0,1
view2,34,0,0,0.9491,0.8892,0,0,1
view2,35,0,0,0.9494,0.8891,0,0,1
view2,36,0,0,0.9482,0.8894,0,0,1
view2,37,0,0,0.955,0.8895,0,0,1
view2,38,0,0,0.9441,0.8889,0,0,1
view2,39,0,0,0.9467,0.8885,0,0,1
view2,40,0,0,0.9412,0.8876,0,0,1
view2,41,0,0,0.9392,0.8869,0,0,1
view2,42,0,0,0.9451,0.8863,0,0,1
view2,43,0,0,0.9399,0.8855,0,0,1
view2,44,0,0,0.9382,0.8844,0,0,1
view2,45,0,0,0.9567,0.8844,0,0,1
view2,46,0,0,0.9498,0.8842,0,0,1
view2,47,0,0,0.9488,0.884,0,0,1
view2,48,0,0,0.958,0.8841,0,0,1
view2,49,0,0,0.9588,0.884,0,0,1
view2,50,0,0,0.9377,0.8836,0,0,1
view2,51,0,0,0.9413,0.8838,0,0,1
view2,52,0,0,0.9507,0.8839,0,0,1
view2,53,0,0,0.9504,0.8842,0,0,1
view2,54,0,0,0.9441,0.8844,0,0,1
view2,55,0,0,0.9338,0.8842,0,0,1
view2,56,0,0,0.9398,0.8839,0,0,1
view2,57,0,0,0.9413,0.8834,0,0,1
view2,58,0,0,0.9358,0.8831,0,0,1
view2,59,0,0,0.9397,0.8825,0,0,1
view2,60,0,0,0.9349,0.8827,0,0,1
view2,61,0,0,0.944,0.8823,0,0,1
view2,62,0,0,0.9549,0.882,0,0,1
view2,63,0,0,0.9353,0.8815,0,0,1
view2,64,0,0,0.941,0.8809,0,0,1
view2,65,0,0,0.9313,0.8802,0,0,1
view2,66,0,0,0.9435,0.88,0,0,1
view2,67,0,0,0.932,0.8798,0,0,1
view2,68,0,0,0.941,0.8799,0,0,1
view2,69,0,0,0.9458,0.88,0,0,1
view2,70,0,0,0.9476,0.88,0,0,1
view2,71,0,0,0.9311,0.8799,0,0,1
view2,72,0,0,0.9596,0.88,0,0,1
view2,73,0,0,0.9464,0.8801,0,0,1
view2,74,0,0,0.951,0.88,0,0,1
view2,75,0,0,0.9394,0.8801,0,0,1
view2,76,0,0,0.9536,0.8804,0,0,1
view2,77,0,0,0.9362,0.8803,1,0,1
view2,78,0,0,0.934,0.8803,0,0,1
view2,79,0,0,0.9363,0.8802,0,0,1
view2,80,0,0,0.9474,0.8802,0,0,1
view2,81,0,0,0.9471,0.88,0,0,1
