view,stitched_track_id,original_track_ids,start_frame,end_frame,start_time,end_time,num_detections
view2,7,[2048],414,444,16.56,17.76,6
view2,8,[2059],517,1404,20.68,56.16,747
view2,9,"[2061, 2062]",524,526,20.96,21.04,2
view2,10,"[2068, 2223]",559,1095,22.36,43.80,396
view2,11,[2080],584,585,23.36,23.40,2
view2,12,[2081],616,616,24.64,24.64,1
view2,13,[2085],635,682,25.40,27.28,5
view2,14,"[2098, 2133, 2158]",700,1109,28.00,44.36,254
view2,15,[2135],798,801,31.92,32.04,3
view2,16,"[2167, 2177, 2186, 2190, 2195, 2204]",839,904,33.56,36.16,18
view2,17,[2217],945,951,37.80,38.04,7
view2,18,"[2264, 2273, 2265, 2280, 2283, 2301, 2368, 2387, 2484, 2540, 2709]",1128,1803,45.12,72.12,432
view2,19,"[2268, 2306, 2326, 2327]",1138,1234,45.52,49.36,50
view2,20,[2311],1203,1263,48.12,50.52,48
view2,21,"[2333, 2344]",1250,1546,50.00,61.84,216
view2,22,[2337],1255,1255,50.20,50.20,1
view2,23,"[2383, 2395, 2538, 2641, 2663, 2690, 2696, 2712, 2725]",1317,1987,52.68,79.48,509
view2,24,"[2446, 2453, 2454, 2474, 2479]",1386,1433,55.44,57.32,9
view2,25,"[2458, 2561]",1409,1695,56.36,67.80,126
view2,26,"[2491, 2548]",1453,1631,58.12,65.24,71
view2,27,[2492],1455,1456,58.20,58.24,2
view2,28,"[2509, 2521]",1477,1501,59.08,60.04,10
view2,29,"[2562, 2681, 2691]",1563,2024,62.52,80.96,329
view2,30,[2585],1610,1615,64.40,64.60,6
view2,31,"[2591, 2594]",1647,1659,65.88,66.36,11
view2,32,"[2597, 2619, 2623]",1653,1692,66.12,67.68,15
view2,33,"[2649, 2676]",1717,1748,68.68,69.92,7
view2,34,[2660],1724,1752,68.96,70.08,11
view2,35,"[2714, 2816, 2881]",1782,2306,71.28,92.24,399
view2,36,[2724],1795,1803,71.80,72.12,6
view2,37,"[2730, 2731]",1798,1822,71.92,72.88,19
view2,38,"[2752, 2759]",1861,2026,74.44,81.04,100
