sequence_order,view,shot_id,window_start_frame,window_end_frame,keyframe_frame_idx,vq_proxy_score,cluster_id,linked_global_ids
1,view2,1,250,499,250,0.22103846499131946,1,3;33
2,view1,4,1000,1249,1000,0.19301804763888888,2,4;5;6;8
3,view3,7,1750,1999,1750,0.306600095847801,3,9;16;42;43;45;46
4,view1,10,2500,2749,2500,0.18199905351803625,4,22;53;57;62;64
5,view3,11,2750,2999,2750,0.1852846177037037,5,23;56;59;65;67;68
6,view1,12,3000,3249,3000,0.16905767156250004,6,22;24;66;72
7,view1,14,3500,3749,3500,0.18824273512673614,7,22;24;25;72
8,view1,15,3750,3911,3750,0.25147718323070983,8,24;26;29;31;32
