view,shot_id,window_start_frame,window_end_frame,keyframe_frame_idx,sequence_order
view1,0,0,249,0,1
view1,1,250,499,250,2
view1,2,500,749,500,3
view1,3,750,999,750,4
view1,4,1000,1249,1000,5
view1,5,1250,1499,1250,6
view1,6,1500,1749,1500,7
view1,7,1750,1999,1750,8
view1,8,2000,2249,2000,9
view1,9,2250,2499,2250,10
view1,10,2500,2749,2500,11
view1,11,2750,2999,2750,12
view1,12,3000,3249,3000,13
view1,13,3250,3499,3250,14
view1,14,3500,3749,3500,15
view1,15,3750,3911,3750,16
