view,frame_idx,shot_id,accepted,max_redund_score,epsilon_used
view1,0,0,1,0.0,0.85
view1,1,0,0,0.9864,0.85
view1,2,0,0,0.9876,0.9864
view1,3,0,0,0.988,0.9867
view1,4,0,1,0.9852,0.9857
view1,5,0,0,0.9847,0.9842
view1,6,0,1,0.9788,0.9804
view1,7,0,0,0.9756,0.97
view1,8,0,0,0.9651,0.9602
view1,9,0,0,0.9679,0.9549
view1,10,0,0,0.9591,0.95
view1,11,0,0,0.9577,0.9472
view1,12,0,0,0.9494,0.9425
view1,13,0,0,0.9591,0.942
view1,14,0,0,0.9519,0.9391
view1,15,0,0,0.9505,0.9372
view1,16,0,0,0.9428,0.9344
view1,17,0,0,0.9468,0.9325
view1,18,0,0,0.9565,0.9317
view1,19,0,0,0.9606,0.9316
view1,20,0,0,0.9586,0.9316
view1,21,0,0,0.9581,0.9317
view1,22,0,0,0.9552,0.9312
view1,23,0,0,0.9576,0.931
view1,24,0,0,0.9549,0.931
view1,25,0,0,0.9599,0.9311
view1,26,0,0,0.9542,0.931
view1,27,0,0,0.9393,0.93
view1,28,0,0,0.9543,0.93
view1,29,0,0,0.9562,0.9301
view1,30,0,0,0.9511,0.93
view1,31,0,0,0.9565,0.9302
view1,32,0,0,0.9454,0.9299
view1,33,0,0,0.9513,0.9299
view1,34,0,0,0.9542,0.9299
view1,35,0,0,0.9534,0.9297
view1,36,0,0,0.9495,0.9297
view1,37,0,0,0.954,0.9297
view1,38,0,0,0.9512,0.9296
view1,39,0,0,0.9532,0.9295
view1,40,0,0,0.9564,0.9295
view1,41,0,0,0.9635,0.9297
view1,42,0,0,0.9584,0.9299
view1,43,0,0,0.9474,0.9299
view1,44,0,0,0.9498,0.9299
view1,45,0,0,0.9583,0.9301
view1,46,0,0,0.9545,0.9301
view1,47,0,0,0.9518,0.9299
view1,48,0,0,0.9512,0.9299
view1,49,0,0,0.9498,0.9298
view1,50,0,0,0.9504,0.9296
view1,51,0,0,0.9514,0.9296
view1,52,0,0,0.95,0.9294
view1,53,0,0,0.9441,0.9292
view1,54,0,0,0.9501,0.9291
view1,55,0,0,0.9514,0.929
view1,56,0,0,0.9613,0.9291
view1,57,0,0,0.9594,0.9292
view1,58,0,0,0.9481,0.929
view1,59,0,0,0.9514,0.929
view1,60,0,0,0.959,0.9292
view1,61,0,0,0.9447,0.929
view1,62,0,0,0.9384,0.9285
view1,63,0,0,0.9494,0.9284
view1,64,0,0,0.9585,0.9286
view1,65,0,0,0.9534,0.9287
view1,66,0,0,0.9557,0.9287
view1,67,0,0,0.9528,0.9286
view1,68,0,0,0.9505,0.9285
view1,69,0,0,0.9561,0.9287
view1,70,0,0,0.9588,0.9288
view1,71,0,0,0.9559,0.9288
view1,72,0,0,0.9453,0.9284
view1,73,0,0,0.9593,0.9285
view1,74,0,0,0.9468,0.9284
view1,75,0,0,0.9508,0.9283
view1,76,0,0,0.9628,0.9284
view1,77,0,0,0.9538,0.9285
view1,78,0,0,0.9563,0.9286
view1,79,0,0,0.9637,0.9287
view1,80,0,0,0.9486,0.9286
view1,81,0,0,0.9516,0.9286
view1,82,0,0,0.955,0.9286
view1,83,0,0,0.9545,0.9286
view1,84,0,0,0.9443,0.9283
view1,85,0,0,0.9596,0.9284
view1,86,0,0,0.9623,0.9285
view1,87,0,0,0.952,0.9284
view1,88,0,0,0.9493,0.9284
view1,89,0,0,0.9474,0.9283
view1,90,0,0,0.9412,0.9281
view1,91,0,0,0.9519,0.9281
view1,92,0,0,0.9531,0.9282
view1,93,0,0,0.948,0.9282
view1,94,0,0,0.9549,0.9282
view1,95,0,0,0.9506,0.9281
view1,96,0,0,0.95,0.9281
view1,97,0,0,0.9544,0.9281
view1,98,0,0,0.9519,0.9281
view1,99,0,0,0.9421,0.9278
view1,100,0,0,0.947,0.9277
view1,101,0,0,0.9498,0.9276
view1,102,0,0,0.9436,0.9275
view1,103,0,0,0.9507,0.9275
view1,104,0,0,0.9618,0.9276
view1,105,0,0,0.9571,0.9277
view1,106,0,0,0.9569,0.9277
view1,107,0,0,0.9519,0.9278
view1,108,0,0,0.9527,0.9278
view1,109,0,0,0.9555,0.9278
view1,110,0,0,0.9556,0.9279
view1,111,0,0,0.9501,0.9279
view1,112,0,0,0.9519,0.9279
view1,113,0,0,0.9528,0.928
view1,114,0,0,0.9523,0.928
view1,115,0,0,0.9538,0.928
view1,116,0,0,0.9644,0.9281
view1,117,0,0,0.9626,0.9282
view1,118,0,0,0.9611,0.9282
view1,119,0,0,0.9564,0.9283
view1,120,0,0,0.9498,0.9282
view1,121,0,0,0.9491,0.9282
view1,122,0,0,0.9589,0.9283
view1,123,0,0,0.9463,0.9282
view1,124,0,0,0.955,0.9282
view1,125,0,0,0.9531,0.9282
view1,126,0,0,0.9471,0.9282
view1,127,0,0,0.95,0.9282
view1,128,0,0,0.9598,0.9283
view1,129,0,0,0.9634,0.9284
view1,130,0,0,0.9622,0.9285
view1,131,0,0,0.957,0.9285
view1,132,0,0,0.9564,0.9285
view1,133,0,0,0.9554,0.9285
view1,134,0,0,0.9468,0.9285
view1,135,0,0,0.9591,0.9286
view1,136,0,0,0.9548,0.9286
view1,137,0,0,0.957,0.9286
view1,138,0,0,0.938,0.9285
view1,139,0,0,0.9523,0.9285
view1,140,0,0,0.9557,0.9285
view1,141,0,0,0.9601,0.9286
view1,142,0,0,0.9503,0.9286
view1,143,0,0,0.9499,0.9286
view1,144,0,0,0.9505,0.9286
view1,145,0,0,0.9525,0.9285
view1,146,0,0,0.9529,0.9286
view1,147,0,0,0.9578,0.9286
view1,148,0,0,0.9586,0.9287
view1,149,0,0,0.9592,0.9287
view1,150,0,0,0.9636,0.9288
view1,151,0,0,0.9637,0.9289
view1,152,0,0,0.9602,0.9289
view1,153,0,0,0.9614,0.929
view1,154,0,0,0.9542,0.929
view1,155,0,0,0.9558,0.929
view1,156,0,0,0.957,0.929
view1,157,0,0,0.9509,0.929
view1,158,0,0,0.9593,0.9291
view1,159,0,0,0.9565,0.9291
