view,shot_id,window_start_frame,window_end_frame,keyframe_frame_idx,sequence_order
view2,0,0,149,0,1
view2,1,150,299,150,2
view2,2,300,449,300,3
view2,3,450,599,450,4
view2,4,600,749,600,5
view2,5,750,899,750,6
view2,6,900,1049,900,7
view2,7,1050,1199,1050,8
view2,8,1200,1349,1200,9
view2,9,1350,1499,1350,10
view2,10,1500,1649,1500,11
view2,11,1650,1799,1650,12
view2,12,1800,1949,1800,13
view2,13,1950,2099,1950,14
view2,14,2100,2249,2100,15
view2,15,2250,2399,2250,16
view2,16,2400,2549,2400,17
view2,17,2550,2699,2550,18
view2,18,2700,2849,2700,19
view2,19,2850,2999,2850,20
view2,20,3000,3149,3000,21
view2,21,3150,3299,3150,22
view2,22,3300,3449,3300,23
view2,23,3450,3599,3450,24
view2,24,3600,3749,3600,25
view2,25,3750,3899,3750,26
view2,26,3900,3914,3900,27
